APRESENTADORA	[curious] Vamos começar com uma cena bem comum. Alguém abre três bases sobre dengue e diz: "tem algo errado". O SINAN mostra um número, o SIH mostra outro, o SIM mostra outro. Mas será que eles estavam tentando contar a mesma coisa?
ESTUDANTE	[engaged] Olhando de fora, parece tudo dengue. Então dá vontade de comparar direto.
APRESENTADORA	[warmly] Pois é. E é aí que entra a ideia central deste capítulo: os Sistemas de Informação em Saúde registram eventos. Eles não registram "a doença" como uma coisa abstrata. Registram notificações, atendimentos, procedimentos, internações, óbitos, nascimentos, doses aplicadas.
ESTUDANTE	[curious] Então a pergunta muda. Em vez de "qual sistema tem dengue?", eu pergunto: "qual evento relacionado à dengue eu quero observar?".
APRESENTADORA	[warmly] Exatamente. Essa mudança parece pequena, mas muda toda a análise.
ESTUDANTE	[engaged] Porque uma pessoa com dengue pode gerar vários registros.
APRESENTADORA	[calm] Sim. Ela pode sentir sintomas, procurar atendimento, ser notificada como caso suspeito, fazer exame, ser internada se piorar e, em uma situação extrema, evoluir para óbito. É uma trajetória clínica, mas cada pedaço pode aparecer em um sistema diferente.
ESTUDANTE	[thoughtful] Então os sistemas não são versões imperfeitas da mesma informação. São janelas diferentes da trajetória.
APRESENTADORA	[warmly] Perfeito. O SIA pode mostrar atendimentos, exames e procedimentos ambulatoriais. O SINAN pode mostrar suspeitas, investigação, confirmação ou descarte. O SIH mostra internações financiadas pelo SUS. O SIM mostra óbitos. Se os números não batem, isso pode ser exatamente o esperado.
ESTUDANTE	[curious] O primeiro passo é reconstruir a história possível do problema.
APRESENTADORA	[calm] Isso. Antes de abrir a planilha, vale perguntar: que acontecimentos esse problema pode produzir? Onde eles são registrados? Quem registra? Com qual finalidade? Em que momento?
ESTUDANTE	[engaged] Parece uma investigação de rastros.
APRESENTADORA	[thoughtful] É uma boa imagem. Cada registro é um rastro institucional. Uma ficha de notificação, uma autorização de internação, uma declaração de óbito, um procedimento lançado no sistema. Todos podem falar do mesmo tema, mas não dizem a mesma coisa.
ESTUDANTE	[curious] Então a tabela que liga pergunta, evento e sistema funciona como mapa de decisão.
APRESENTADORA	[warmly] Exatamente. Se a pergunta é sobre suspeita ou confirmação de doença de notificação, o caminho provável é o SINAN. Se é atendimento, exame ou procedimento no SUS, olhamos para o SIA. Se é hospitalização no SUS, SIH. Se é morte, SIM. Se é nascimento, SINASC. Se é vacinação, SI-PNI.
ESTUDANTE	[engaged] Mas a tabela não substitui a pergunta metodológica.
APRESENTADORA	[calm] Não substitui. Ela só orienta a entrada. Depois ainda precisamos conferir cobertura, campos disponíveis, período, versão da base e unidade de análise.
ESTUDANTE	[curious] Vamos falar dessa unidade de análise, porque é onde muita coisa dá errado.
APRESENTADORA	[calm] Dá mesmo. Um evento de saúde nem sempre equivale a uma pessoa. No SIA, uma linha pode ser um procedimento. Uma pessoa pode fazer vários exames. No SIH, a unidade operacional é a AIH, e uma pessoa pode ter mais de uma autorização. No SINAN, uma ficha pode ser uma suspeita que será descartada. No SIM, cada registro corresponde a um óbito.
ESTUDANTE	[engaged] "Quantos registros existem?" não é a mesma pergunta que "quantas pessoas tiveram o problema?".
APRESENTADORA	[warmly] Exato. Às vezes as respostas se aproximam. Às vezes ficam muito distantes. Antes de contar, precisamos dizer se estamos falando de pessoa, evento, procedimento, autorização, documento ou episódio de cuidado.
ESTUDANTE	[curious] E ainda existe a diferença entre duplicidade e recorrência.
APRESENTADORA	[calm] Sim. Dois registros parecidos podem ser erro de digitação, duplicação da ficha, transferência entre serviços, novo atendimento ou novo episódio clínico. A decisão de deduplicar não é automática. Ela depende do sistema e da pergunta.
ESTUDANTE	[thoughtful] Então limpar a base também é uma decisão conceitual.
APRESENTADORA	[thoughtful] Exatamente. Não é só técnica. Se eu apago registros achando que são duplicados, posso eliminar recorrências reais. Se mantenho duplicidades verdadeiras, posso inflar o resultado. O método precisa explicar a regra.
ESTUDANTE	[curious] Agora vamos ao tempo. O evento acontece em um momento, mas o dado aparece depois.
APRESENTADORA	[calm] Entre a ocorrência e o dado analisável existe um ciclo. O evento acontece; alguém registra; pode haver investigação, crítica, validação, digitação, envio, consolidação; e só depois vem a disseminação em TabNet, microdados, painel ou base aberta.
ESTUDANTE	[engaged] Cada etapa pode ter uma data.
APRESENTADORA	[warmly] Sim. Data de início de sintomas, data de atendimento, data de notificação, data de internação, data de óbito, data de digitação, data de disponibilização. Elas respondem a perguntas diferentes.
ESTUDANTE	[curious] Em uma epidemia, trocar a data de sintomas pela data de digitação pode mudar a curva.
APRESENTADORA	[calm] Pode mudar bastante. A data de sintomas tenta se aproximar do início clínico. A data de notificação mostra quando o sistema tomou conhecimento. A data de digitação informa parte do fluxo administrativo. Nenhuma é universalmente melhor.
ESTUDANTE	[engaged] A melhor data é a que responde à pergunta declarada.
APRESENTADORA	[warmly] Perfeito. E essa escolha precisa aparecer no método, porque muda a interpretação.
ESTUDANTE	[curious] Isso explica por que dados recentes mudam depois?
APRESENTADORA	[calm] Também. Dados preliminares chegam mais rápido, mas podem receber registros atrasados, correções, investigação e consolidação. Em surtos, esse atraso pode aumentar porque as equipes estão atendendo, investigando, preenchendo e digitando ao mesmo tempo.
ESTUDANTE	[engaged] Então uma queda nos últimos dias de uma curva pode ser atraso, não melhora real.
